STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B,MINRDATE_MM,MAXRDATE_MM,LASTDATE_MM,FIRSTDATE_MM,HV3,HV4,ANC6,MHUC2,HPHONE_D,RFA_2F
WI,27,H,F,2,F,C,C,2,1,11,11,1,3,3,0,3,0,1
FL,28,H,M,1,F,C,C,2,11,4,4,11,4,3,0,2,0,1
CA,2,H,F,3,E,B,U,1,6,2,2,8,6,6,0,2,0,2
IL,14,H,F,3,F,A,S,1,4,6,12,4,5,5,0,4,0,4
FL,41,H,M,1,F,A,T,3,10,12,12,10,4,3,1,2,1,1
WA,42,U,F,3,E,C,R,1,11,12,3,9,4,3,0,2,1,3
GA,31,H,M,3,F,A,C,3,11,10,10,11,3,3,1,2,1,1
FL,42,H,M,3,G,B,R,1,11,12,12,11,3,2,0,3,1,2
other,49,U,M,2,F,D,R,2,12,12,12,3,4,4,0,2,0,1
CA,17,U,F,2,F,A,S,2,1,2,1,2,9,8,0,4,0,1
FL,17,H,F,3,G,A,S,2,1,6,6,10,4,4,1,4,1,1
MI,8,H,M,3,F,A,U,3,2,7,12,1,4,4,3,3,0,1
CA,36,U,other,2,F,B,T,2,12,12,12,12,4,3,0,2,1,1
other,49,H,M,3,E,D,R,2,10,12,12,10,2,2,0,2,0,3
other,14,H,M,2,G,B,S,1,10,12,12,10,8,7,0,3,0,1
other,40,H,F,3,F,B,T,2,1,12,12,1,4,4,0,2,1,1
CA,14,H,M,2,G,A,S,1,9,9,9,9,9,9,0,3,0,1
other,16,H,F,3,F,B,S,2,9,10,10,3,4,3,0,3,0,1
other,12,H,F,3,F,A,S,1,3,2,2,3,7,7,0,2,1,1
IL,27,H,M,3,F,C,C,2,12,9,12,8,4,3,0,2,1,4
other,44,H,F,3,G,B,R,2,3,4,4,10,2,2,0,2,0,1
other,43,H,F,3,F,D,R,2,2,2,2,2,1,1,0,2,1,1
FL,12,H,F,3,F,A,S,1,3,2,12,3,8,6,0,4,0,1
NC,35,H,F,2,D,B,T,1,4,12,3,11,2,2,0,2,1,4
TX,35,U,M,3,D,C,T,1,12,10,2,1,7,6,0,3,1,4
other,24,H,F,3,F,B,C,1,5,1,1,2,4,4,0,3,1,2
WA,35,H,M,2,F,A,T,1,7,12,2,7,5,4,0,3,0,3
MI,8,H,M,2,F,A,U,3,9,9,9,9,3,3,0,2,0,1
CA,11,H,M,2,F,A,S,1,7,6,2,3,8,8,0,2,0,3
other,30,H,F,3,F,C,C,3,12,12,10,10,3,2,0,2,1,1
TX,27,H,M,3,F,C,C,2,8,8,8,8,6,5,0,3,0,1
CA,7,H,F,2,F,A,U,2,6,6,6,6,9,8,1,3,0,1
CA,11,H,F,3,F,A,S,1,5,11,1,4,11,10,0,3,0,2
CA,27,H,M,2,G,A,C,2,2,2,2,2,9,8,0,2,1,1
NC,12,H,F,3,F,B,S,1,3,9,9,3,4,5,0,3,0,1
other,16,H,F,3,G,B,S,2,11,11,4,2,5,5,0,3,0,1
CA,13,H,F,2,F,A,S,1,4,12,1,4,6,4,1,2,0,2
other,40,H,F,1,F,B,R,2,12,12,6,12,3,2,0,2,1,1
MI,53,U,M,2,F,D,R,3,7,7,7,7,2,2,0,2,0,1
MO,30,U,F,2,E,B,C,3,3,1,2,1,3,3,0,2,0,4
NC,35,H,F,3,G,B,T,1,1,1,1,1,3,2,0,3,0,1
MI,30,U,M,3,G,B,C,3,10,4,4,4,3,3,0,2,1,1
other,49,H,F,3,F,D,R,2,4,11,11,3,2,3,0,2,0,2
MI,53,U,M,2,F,C,R,3,2,12,12,2,2,1,0,2,0,1
GA,39,H,M,3,F,A,T,2,1,1,1,1,4,3,0,1,1,1
other,12,H,M,3,G,C,S,1,9,9,9,9,9,8,0,4,1,1
FL,33,U,F,2,F,B,C,3,12,4,4,10,4,4,0,2,0,1
other,36,U,F,3,F,D,T,2,9,12,12,9,3,3,0,2,1,1
CA,12,H,F,3,F,A,S,1,3,2,12,3,6,6,0,2,0,4
other,51,H,F,2,F,D,R,3,7,7,7,7,1,1,0,2,0,1
other,27,H,F,3,F,C,C,2,2,10,2,10,5,5,0,2,1,2
TX,46,H,M,3,F,A,R,2,8,10,11,5,3,2,0,2,1,4
CA,12,H,M,2,G,A,S,1,1,1,1,1,10,10,1,4,0,1
WA,20,H,M,3,F,A,S,2,6,3,3,6,3,3,0,2,1,2
TX,12,H,F,3,F,A,S,1,10,9,12,10,5,5,0,4,1,4
GA,40,H,F,2,D,A,T,2,9,3,2,9,6,5,0,2,0,4
CA,10,H,M,3,D,A,U,4,5,9,12,12,2,3,0,2,0,4
WA,17,H,M,3,G,A,S,2,1,1,1,1,5,5,0,2,1,1
CA,6,H,F,3,G,A,U,2,12,9,9,1,6,6,0,1,0,1
MO,30,H,F,3,F,C,C,3,1,3,3,2,2,2,0,2,0,4
other,53,H,F,3,E,D,R,3,5,8,12,1,1,1,0,2,0,3
IL,46,H,M,3,D,A,R,2,5,9,12,9,9,8,0,4,0,4
other,49,H,M,2,F,D,R,2,5,3,3,5,2,2,0,2,0,2
other,43,H,F,3,F,D,R,2,10,10,10,10,2,2,0,2,0,1
TX,42,H,F,3,F,C,R,1,1,4,11,1,5,4,0,2,1,3
IL,36,H,M,3,E,D,T,2,6,12,1,1,1,2,0,3,1,3
CA,40,H,M,3,G,B,R,2,2,1,1,1,5,3,0,2,1,1
MI,12,H,M,1,F,B,S,1,9,5,5,9,4,4,1,3,1,1
CA,18,H,M,3,F,A,S,2,11,4,12,3,5,6,0,2,1,1
other,34,H,F,2,F,B,T,1,2,9,9,2,6,7,0,3,0,2
IN,39,H,M,3,F,C,T,2,1,12,12,1,2,2,0,2,0,1
other,45,U,M,3,F,D,R,2,6,12,11,4,2,1,0,2,1,1
FL,23,H,F,3,E,C,C,1,6,12,2,6,6,7,1,3,1,2
IN,12,H,F,3,F,A,S,1,9,9,9,9,4,4,2,3,1,1
IN,49,H,F,2,G,D,R,2,11,12,2,1,2,1,0,2,0,4
TX,35,H,M,3,F,A,T,1,2,12,12,1,7,6,0,3,1,2
CA,22,H,F,3,G,A,C,1,9,11,11,9,9,9,0,4,0,2
other,24,H,M,3,G,B,C,1,12,1,12,1,5,5,1,3,0,1
FL,36,H,M,2,E,B,T,2,3,11,12,1,4,3,0,2,0,3
IL,45,H,F,3,F,C,R,2,1,1,1,1,3,3,0,2,1,1
MO,41,H,F,3,G,D,T,3,11,11,11,11,2,1,0,2,0,1
IL,40,H,F,3,G,A,T,2,3,12,12,3,4,4,0,3,0,2
WI,40,U,F,1,F,B,T,2,5,2,2,9,5,5,0,4,1,1
MI,36,H,M,3,G,B,T,2,12,12,1,10,4,4,0,3,0,1
other,21,U,M,2,F,B,S,3,10,4,4,10,5,5,0,4,0,1
FL,3,U,M,1,F,A,U,1,12,12,12,12,6,6,2,4,1,1
CA,11,H,F,3,G,A,S,1,8,8,8,8,9,9,0,4,0,1
IN,32,H,F,3,F,C,C,3,11,2,2,11,2,2,0,2,1,2
IN,1,U,F,3,F,B,U,1,8,7,8,7,3,3,2,2,1,1
other,3,H,F,3,E,A,U,1,1,6,5,1,6,6,0,3,1,3
other,31,H,F,3,F,C,C,3,12,12,12,12,0,0,0,0,0,1
WA,36,H,F,2,G,C,T,2,2,12,3,2,3,3,2,2,0,3
IL,49,H,F,3,E,C,R,2,5,12,2,10,2,1,0,3,0,3
other,26,H,M,3,G,C,C,2,12,11,12,12,3,3,0,2,1,1
GA,49,U,F,3,F,D,R,2,1,8,8,1,2,2,0,2,1,1
FL,40,H,M,2,G,C,R,2,12,3,3,12,5,4,0,3,0,1
MO,24,H,F,3,G,A,C,1,7,7,7,7,5,4,0,3,1,1
CA,11,H,M,1,E,A,S,1,8,11,1,9,6,6,1,2,1,3
MI,30,H,M,3,E,C,C,3,7,9,2,2,2,2,0,2,1,3
other,46,H,F,3,E,D,R,2,10,3,9,10,2,2,0,2,1,4
GA,41,H,F,3,F,A,T,3,11,6,12,11,4,3,0,2,1,2
TX,35,H,F,3,F,A,T,1,2,2,2,2,6,5,0,3,0,1
FL,36,H,F,3,G,C,T,2,10,12,5,10,4,4,1,1,1,1
NC,49,H,M,2,E,C,R,2,2,11,12,12,3,2,0,3,0,1
WI,3,H,F,3,F,B,U,1,4,12,12,4,6,5,0,3,1,1
CA,42,H,F,3,F,D,R,1,12,10,9,7,5,4,0,2,0,2
other,46,H,M,3,D,D,R,2,12,1,1,10,2,1,0,2,0,4
CA,7,H,F,3,E,A,U,2,12,12,3,3,5,6,1,2,0,2
GA,46,H,F,3,F,D,R,2,1,9,9,1,2,2,0,2,0,1
other,49,U,M,2,F,D,R,2,5,12,1,1,2,2,0,2,1,2
other,33,H,F,2,E,C,C,3,8,4,9,9,2,2,0,1,0,1
IL,8,H,F,2,G,A,U,3,4,12,12,4,3,3,0,3,0,1
other,34,H,M,3,E,B,T,1,12,11,1,3,5,5,0,3,1,1
TX,31,U,F,3,F,A,C,3,2,11,11,2,3,3,0,2,1,1
other,13,H,M,3,F,B,S,1,12,2,5,2,4,4,0,3,1,1
MI,27,H,M,3,G,C,C,2,9,9,9,9,5,4,0,3,1,1
MI,40,H,F,2,G,A,T,2,10,11,11,10,5,4,0,4,0,1
other,21,H,F,2,F,C,S,3,11,11,11,11,4,4,0,0,0,1
other,1,H,F,3,G,B,U,1,6,9,9,9,4,4,0,3,0,2
CA,38,H,M,3,F,D,T,2,12,7,12,7,3,3,0,2,1,1
IL,49,U,M,2,E,B,R,2,2,5,1,10,2,2,0,4,0,3
IL,13,H,F,3,F,A,S,1,1,9,9,10,6,5,0,3,1,1
CA,20,H,M,2,E,A,S,2,3,12,12,3,8,8,0,2,0,1
other,22,H,M,3,F,B,C,1,3,11,11,3,3,2,0,2,0,1
CA,35,H,F,2,D,B,T,1,5,2,7,2,10,9,0,0,0,3
MI,41,H,F,3,F,C,T,3,4,6,6,4,3,3,1,2,1,1
CA,20,H,F,3,F,A,S,2,1,11,11,1,7,7,0,2,0,1
CA,14,H,M,3,G,A,S,1,1,1,1,1,11,5,0,4,0,1
TX,30,H,F,3,F,B,C,3,11,3,3,11,3,2,0,1,1,1
IL,35,H,M,3,E,A,T,1,6,11,11,6,4,4,0,3,0,3
NC,49,U,F,3,G,D,R,2,10,12,12,10,3,2,0,2,0,1
other,10,U,M,1,G,A,U,4,9,10,10,9,0,0,0,0,0,1
IN,21,U,F,1,F,A,S,3,12,7,7,9,3,3,3,2,0,1
TX,36,H,F,2,F,C,T,2,10,1,1,2,2,2,0,2,0,1
other,43,U,F,3,F,D,R,2,12,6,12,10,2,1,0,2,1,4
CA,21,H,M,3,G,A,S,3,1,3,12,1,2,1,0,0,0,2
IN,21,H,M,3,E,B,S,3,6,4,10,9,2,2,0,2,0,4
FL,28,H,M,2,F,A,C,2,7,10,4,10,5,4,1,2,1,1
WI,28,U,M,3,F,D,C,2,1,3,3,1,3,2,0,3,1,1
IL,51,U,F,1,F,D,R,3,1,6,4,1,1,0,0,2,1,1
other,36,H,F,3,F,D,T,2,9,1,1,2,2,2,0,2,1,2
CA,7,H,F,3,G,A,U,2,11,12,1,11,5,5,0,2,0,3
CA,8,H,M,3,F,A,U,3,12,12,12,12,6,6,0,2,1,1
WI,45,H,F,3,F,D,R,2,5,12,10,9,2,1,0,2,1,1
other,35,H,M,3,F,C,T,1,5,7,7,10,3,3,0,2,1,1
MO,43,H,F,3,F,D,R,2,12,1,1,9,2,2,0,2,1,2
CA,6,H,F,1,F,A,U,2,6,12,2,6,8,7,0,2,1,4
CA,9,H,M,3,G,A,U,3,11,1,3,11,0,0,0,0,0,3
other,49,U,F,1,E,D,R,2,11,1,11,1,2,1,0,2,1,4
other,41,U,F,2,F,D,T,3,7,1,1,12,1,1,0,2,0,1
WA,25,U,M,1,E,A,C,2,12,12,5,8,5,5,0,2,0,1
other,35,H,F,3,F,B,T,1,1,6,6,1,11,7,0,5,0,1
other,43,H,M,3,D,B,R,2,3,9,12,3,1,0,0,2,1,4
FL,35,H,M,3,F,B,T,1,1,1,1,1,6,6,1,3,1,1
CA,1,H,F,2,E,A,U,1,5,10,11,3,6,6,0,3,0,1
other,26,H,F,3,E,B,C,2,9,2,2,9,3,5,0,3,1,1
TX,40,H,M,2,E,B,R,2,4,11,9,10,3,2,0,2,0,3
GA,37,H,other,3,G,D,T,2,1,1,1,1,2,2,0,2,1,1
MI,53,H,F,2,F,D,R,3,1,9,9,1,2,1,0,2,0,3
MI,51,H,M,3,E,D,R,3,10,1,3,10,3,2,0,2,0,3
FL,11,H,F,3,D,A,S,1,3,5,2,11,5,5,0,4,1,3
TX,22,U,F,2,F,A,C,1,2,2,2,2,4,4,0,4,1,1
other,51,H,F,2,F,D,R,3,10,11,2,10,1,1,0,2,0,3
other,33,U,F,3,F,C,C,3,10,2,2,10,3,3,0,3,1,1
WA,24,H,M,3,F,A,C,1,9,4,4,9,6,6,0,3,1,1
other,43,U,M,2,G,C,R,2,12,4,7,2,2,2,0,2,0,2
GA,12,H,other,3,G,A,S,1,2,12,12,2,6,6,0,2,0,3
other,36,H,M,3,F,A,T,2,2,9,6,2,4,4,1,2,0,1
IN,36,H,M,3,D,C,T,2,9,3,3,9,3,3,1,2,1,4
CA,40,H,F,3,F,C,T,2,2,9,1,2,5,5,0,2,0,2
FL,39,H,F,3,E,C,T,2,10,12,12,10,5,5,0,1,0,3
other,49,H,M,3,F,B,R,2,3,10,9,11,2,1,0,3,1,1
other,35,U,M,1,G,D,T,1,10,10,12,10,3,3,0,2,0,1
MO,35,H,F,3,F,A,T,1,12,11,11,11,5,4,0,3,1,1
NC,36,H,F,3,F,C,T,2,9,9,8,9,3,2,0,3,0,2
MO,16,H,F,3,F,A,S,2,12,2,2,2,4,3,0,2,0,3
other,49,H,M,3,F,D,R,2,1,11,11,1,3,1,0,3,1,1
FL,19,H,F,2,F,A,S,2,1,9,9,1,5,5,0,2,0,2
FL,51,H,M,3,F,C,R,3,4,1,4,9,2,2,0,2,1,1
MI,33,H,F,3,E,A,C,3,3,3,1,10,3,3,0,3,1,3
CA,11,H,M,2,F,B,S,1,12,6,12,10,5,7,0,3,0,1
CA,35,H,F,2,G,A,T,1,1,4,4,1,6,6,0,3,0,1
other,18,H,M,3,E,A,S,2,1,1,12,1,4,4,2,2,1,2
FL,14,H,F,1,G,B,S,1,11,4,4,11,5,5,0,2,1,1
other,41,H,F,2,F,C,T,3,8,8,8,8,1,1,0,1,0,1
WA,44,H,F,2,F,B,R,2,12,12,12,12,3,2,0,2,0,1
CA,1,H,F,3,F,A,U,1,2,3,3,2,7,7,0,4,0,1
CA,7,H,F,3,F,A,U,2,9,6,10,2,6,6,0,2,0,1
MO,40,U,M,2,D,C,T,2,12,2,2,2,3,2,0,2,1,4
MI,35,H,F,3,F,A,T,1,10,1,6,10,5,3,1,4,1,1
WA,1,H,M,3,G,A,U,1,1,1,1,1,2,3,0,0,1,1
FL,39,H,F,3,F,B,T,2,1,3,3,1,5,5,0,3,1,1
GA,24,H,F,3,F,C,C,1,9,2,9,2,3,4,0,3,1,3
CA,29,H,M,3,G,A,C,2,2,12,12,2,5,4,0,0,1,1
other,30,H,F,3,E,C,C,3,3,1,3,1,3,3,0,2,0,3
TX,24,H,F,3,F,C,C,1,1,4,6,4,6,6,0,3,1,1
WI,40,H,F,3,D,C,T,2,5,11,3,11,3,3,0,3,1,4
FL,21,H,F,3,E,B,S,3,5,2,2,8,3,3,0,1,1,2
CA,15,H,F,2,F,A,S,1,7,12,12,3,7,7,2,3,0,1
other,30,U,M,3,E,A,C,3,11,11,3,1,3,3,0,2,1,3
MO,27,H,F,3,G,D,C,2,6,12,12,6,2,1,0,2,1,1
other,51,H,M,3,F,D,R,3,11,11,11,11,2,1,0,2,0,1
CA,45,U,M,1,F,B,R,2,10,10,10,1,1,1,0,0,0,1
other,24,H,F,3,D,B,C,1,7,2,12,3,7,6,0,2,1,3
CA,17,H,M,2,F,B,S,2,3,4,4,7,4,4,0,2,0,1
CA,11,H,M,3,G,A,S,1,3,6,1,3,11,10,1,3,0,2
other,30,H,F,2,F,C,C,3,1,4,8,1,4,4,0,2,1,2
FL,9,H,F,3,D,A,U,3,11,4,12,9,4,4,0,3,0,4
WI,18,H,F,3,G,B,S,2,1,12,2,1,6,6,0,3,1,3
other,40,H,M,3,E,B,T,2,11,3,3,8,3,3,0,2,1,2
FL,8,U,M,2,F,A,U,3,5,1,5,1,4,4,0,2,0,1
FL,28,H,F,3,E,B,C,2,12,9,12,10,4,5,0,2,0,2
other,49,U,M,3,F,D,R,2,4,12,3,4,2,1,0,2,1,3
IN,17,U,F,1,F,B,S,2,11,2,2,11,4,4,0,2,0,1
other,53,H,F,3,F,D,R,3,9,1,1,1,3,2,0,2,1,2
TX,34,H,F,3,F,A,T,1,7,7,7,7,3,3,0,3,1,1
IN,44,H,F,2,F,B,R,2,8,3,3,9,3,1,0,2,1,1
other,45,U,F,3,E,A,R,2,1,11,11,1,3,2,0,2,1,3
CA,18,H,F,3,F,B,S,2,12,1,12,3,6,6,0,3,0,4
other,24,H,M,3,F,B,C,1,4,8,11,10,4,3,1,3,1,1
other,49,U,F,1,E,C,R,2,5,1,9,2,3,2,0,3,1,3
other,51,H,F,2,G,D,R,3,8,2,2,10,1,1,0,2,0,4
WA,23,H,F,3,F,C,C,1,6,9,11,11,4,3,0,2,0,2
WI,44,H,M,2,G,C,R,2,6,11,11,12,3,3,0,3,0,2
WI,34,H,F,2,F,B,T,1,11,2,2,3,6,5,1,3,1,1
other,25,H,F,3,E,D,C,2,12,1,12,2,6,6,0,3,1,2
other,36,H,M,3,F,B,T,2,12,10,2,11,3,3,0,0,1,1
GA,50,U,F,2,E,D,R,3,3,5,3,3,1,1,0,2,0,3
other,27,H,F,2,F,B,C,2,10,6,3,1,3,3,0,2,1,1
IN,44,H,F,3,F,D,R,2,10,12,1,12,3,3,0,2,1,1
CA,7,H,F,2,F,A,U,2,2,1,1,2,7,7,0,2,0,2
WI,30,H,M,3,E,C,C,3,11,2,12,6,3,3,0,2,1,2
CA,40,H,F,3,G,A,R,2,10,5,5,3,7,7,0,2,0,1
other,42,H,M,3,F,D,R,1,3,11,3,3,5,3,0,3,0,2
FL,30,H,F,3,F,B,C,3,5,9,6,5,4,4,0,2,1,1
CA,28,H,F,3,F,A,C,2,1,1,1,1,5,6,0,3,0,1
other,49,H,F,2,F,A,R,2,12,2,10,10,0,0,0,0,0,2
CA,40,U,M,3,F,B,T,2,6,10,10,6,5,4,0,2,1,2
WI,45,H,M,3,F,D,R,2,12,11,2,10,2,2,0,2,0,4
FL,6,H,M,3,E,A,U,2,6,4,12,9,6,5,1,3,1,2
IN,43,H,F,3,D,D,R,2,1,9,12,1,2,1,0,2,0,4
FL,27,U,F,3,E,A,C,2,3,1,11,1,3,4,0,3,0,3
WA,30,H,F,3,E,B,C,3,7,3,1,11,2,2,0,2,1,2
FL,28,U,M,2,G,B,C,2,8,4,4,8,5,6,0,2,1,1
IN,18,H,M,3,F,B,S,2,12,7,1,12,5,5,0,2,1,2
other,32,H,F,2,G,B,C,3,11,7,11,7,1,1,0,2,0,2
CA,2,H,F,3,E,A,U,1,2,7,8,7,11,11,0,2,1,2
WI,44,H,F,3,D,C,R,2,12,1,11,1,3,3,0,3,1,3
other,41,H,F,3,D,C,T,3,11,1,2,3,2,2,0,2,0,4
other,16,H,F,3,F,B,S,2,1,6,1,6,4,3,0,3,0,2
GA,12,H,F,3,G,A,S,1,8,8,8,8,6,6,0,0,1,1
FL,37,H,F,3,F,B,T,2,12,5,5,11,4,3,0,2,0,1
FL,41,H,F,3,E,C,T,3,9,1,1,9,3,3,1,1,1,3
CA,3,H,F,3,E,A,U,1,9,9,10,9,5,5,1,3,0,2
NC,31,U,F,2,F,B,C,3,1,1,1,1,3,2,0,1,0,1
MI,17,H,F,3,E,B,S,2,9,8,7,10,4,4,0,3,1,3
MO,36,H,M,3,F,B,T,2,4,5,4,9,3,2,0,2,1,1
other,45,H,M,3,E,B,R,2,3,11,2,10,2,2,0,2,1,4
NC,23,H,F,3,E,C,C,1,2,1,1,2,2,2,1,2,1,1
FL,10,H,F,3,F,A,U,4,9,3,3,9,3,3,0,2,0,1
other,40,U,F,3,E,C,T,2,11,6,1,1,3,2,0,2,1,3
other,12,H,M,3,D,B,S,1,1,10,11,1,9,8,0,3,1,4
TX,13,H,M,3,G,B,S,1,9,4,4,2,9,9,1,4,1,1
TX,14,H,M,3,G,A,S,1,1,11,11,1,3,3,0,2,1,1
TX,2,H,F,3,D,A,U,1,2,9,3,2,4,4,0,3,1,3
GA,39,H,F,3,F,C,T,2,12,3,3,12,3,3,0,3,0,1
TX,14,H,M,3,F,B,S,1,3,12,12,9,10,5,0,4,1,1
other,13,H,M,3,G,B,S,1,6,1,1,2,6,6,0,3,0,1
FL,20,H,M,3,E,B,S,2,1,12,1,9,4,4,1,2,1,3
other,18,H,F,3,F,B,S,2,1,9,1,9,4,2,0,3,1,2
other,11,H,F,3,F,B,S,1,4,6,3,4,4,5,0,2,1,2
other,45,H,F,3,E,D,R,2,3,8,2,2,2,1,0,2,0,2
CA,34,H,F,2,D,C,T,1,4,12,3,2,5,4,0,2,0,4
other,41,H,F,2,F,B,T,3,2,12,12,2,4,4,0,3,0,1
IL,45,U,F,3,F,C,R,2,1,12,12,1,2,2,1,2,0,1
MI,46,U,F,3,E,A,R,2,12,2,2,7,3,3,0,2,1,2
other,51,H,F,3,F,D,R,3,2,7,7,2,2,1,0,2,1,3
other,42,H,M,3,D,D,R,1,1,1,1,10,2,1,0,2,1,4
other,45,H,F,3,F,D,R,2,6,12,11,12,2,1,0,2,0,1
other,51,U,F,2,G,D,R,3,10,10,10,10,1,1,0,2,0,1
CA,7,U,F,2,D,A,U,2,7,10,2,7,6,6,0,1,0,3
other,38,H,F,3,G,C,T,2,1,1,1,1,4,3,0,4,0,1
other,49,U,F,2,E,B,R,2,11,5,12,3,2,2,0,2,0,2
other,40,H,F,2,F,B,R,2,1,2,1,2,4,4,0,3,0,1
CA,1,H,M,1,G,A,U,1,10,8,4,10,7,8,1,3,1,1
IL,35,H,M,3,G,A,T,1,1,1,1,1,5,5,0,4,1,1
CA,28,H,M,3,G,B,C,2,10,2,2,10,7,6,0,2,0,2
CA,27,H,M,3,E,B,C,2,10,9,2,5,4,5,0,3,1,3
other,53,U,M,3,F,D,R,3,4,6,6,4,2,1,0,2,0,1
WI,40,U,F,3,D,D,T,2,11,12,2,11,3,3,0,3,1,4
other,41,U,F,2,F,C,T,3,9,12,6,9,2,1,0,2,0,1
other,49,H,M,2,E,B,R,2,9,11,10,9,3,3,0,2,0,4
other,11,H,F,3,E,B,S,1,2,2,2,11,5,5,0,3,1,2
MO,37,H,M,3,F,C,T,2,10,11,11,10,3,4,0,1,0,2
other,36,H,M,3,F,D,T,2,6,6,6,6,2,1,0,2,0,1
IL,49,U,M,2,F,C,R,2,5,5,5,5,2,1,0,2,0,1
FL,29,H,M,3,F,C,C,2,5,12,12,10,4,3,1,2,1,2
other,45,H,F,3,E,D,R,2,7,11,3,6,2,1,0,2,0,4
other,14,H,M,3,G,A,S,1,6,9,9,6,10,10,0,4,1,2
TX,41,H,M,3,F,D,T,3,10,10,10,10,3,3,0,2,1,1
GA,47,H,F,3,F,D,R,2,3,3,3,3,2,1,0,2,0,1
WA,23,H,F,2,E,C,C,1,3,9,3,9,5,5,0,2,0,3
CA,1,H,M,3,G,A,U,1,10,10,10,10,7,8,0,0,0,2
other,27,U,F,2,F,C,C,2,12,11,12,11,6,5,0,2,1,2
other,5,H,F,2,E,A,U,2,7,2,1,12,7,7,1,2,1,4
FL,28,U,F,1,E,B,C,2,8,8,2,10,4,3,0,0,1,3
MI,16,H,F,3,F,A,S,2,1,12,2,8,5,4,1,2,0,4
CA,3,H,F,3,F,A,U,1,12,4,12,4,6,6,0,1,0,2
GA,49,H,F,3,E,D,R,2,8,1,2,8,3,2,0,3,0,3
other,43,H,F,2,G,D,R,2,4,4,7,1,1,1,0,2,0,1
FL,33,U,M,2,F,A,C,3,10,4,4,4,3,3,0,1,0,1
FL,6,H,M,3,F,A,U,2,9,9,9,9,4,4,0,2,1,1
TX,22,H,F,3,G,A,C,1,2,11,1,2,7,6,0,3,0,2
FL,28,H,F,3,F,B,C,2,11,11,11,11,4,4,0,2,1,1
TX,40,H,M,3,E,A,T,2,3,1,3,10,5,3,0,3,1,4
other,48,H,F,3,E,D,R,2,6,1,1,6,2,2,0,2,1,3
FL,13,H,M,3,F,B,S,1,1,12,12,1,7,4,0,4,1,4
TX,35,H,M,3,F,A,T,1,7,9,1,8,5,5,0,4,1,2
CA,11,H,F,1,F,A,S,1,1,3,12,1,8,8,0,2,0,1
FL,29,H,M,1,F,B,C,2,6,11,11,12,5,5,1,2,1,1
FL,29,H,other,3,F,B,C,2,2,1,1,2,6,7,2,2,1,1
CA,28,H,F,3,G,B,C,2,2,12,12,2,4,4,0,2,1,1
IN,17,H,M,3,G,B,S,2,11,5,9,11,4,3,0,2,1,2
NC,14,H,F,3,F,B,S,1,6,7,4,6,7,6,1,4,1,1
TX,36,H,M,2,E,D,T,2,11,1,3,11,3,2,0,2,0,2
IL,21,H,F,3,E,A,S,3,5,3,1,11,7,5,0,4,0,2
MO,8,H,F,3,E,A,U,3,7,6,4,8,4,3,1,2,1,2
MI,39,H,F,3,G,C,T,2,1,4,2,10,3,2,0,3,0,2
MI,53,H,F,3,D,C,R,3,9,11,3,9,2,2,0,2,1,4
CA,52,H,other,3,G,C,R,3,7,5,1,1,3,3,0,2,1,1
FL,18,H,F,3,F,A,S,2,2,9,2,2,5,4,0,1,0,3
other,34,U,F,2,F,B,T,1,9,2,6,7,6,6,0,3,0,1
CA,44,H,F,3,E,D,R,2,11,3,2,11,3,2,0,2,1,2
CA,3,U,F,2,G,C,U,1,1,1,11,1,5,5,0,3,0,1
other,53,U,M,3,F,B,R,3,12,6,6,12,2,2,0,1,1,1
other,18,H,F,3,G,A,S,2,9,9,9,9,4,4,0,3,1,1
FL,36,H,F,3,F,B,T,2,2,2,2,2,4,4,1,2,1,1
TX,27,H,F,3,G,A,C,2,1,1,1,1,5,5,0,2,0,1
IL,21,U,F,2,G,A,S,3,9,9,9,9,4,4,0,0,0,1
other,31,H,F,3,F,B,C,3,4,3,3,4,0,0,0,0,0,2
other,33,U,F,1,G,A,C,3,11,12,12,11,4,3,0,2,1,1
MI,6,U,F,2,F,A,U,2,1,1,1,1,3,3,0,2,0,1
CA,15,H,M,3,G,A,S,1,12,1,11,9,9,9,0,0,1,2
IL,21,H,F,3,F,B,S,3,2,5,2,5,3,2,0,2,1,2
FL,23,H,M,1,E,B,C,1,2,10,3,2,6,5,0,3,1,3
GA,34,H,F,3,E,C,T,1,1,7,11,1,3,3,0,2,1,4
CA,18,H,F,2,E,A,S,2,11,3,9,12,6,6,0,2,1,1
FL,12,H,F,3,E,B,S,1,1,3,3,1,3,3,0,2,0,4
WA,40,H,M,2,G,C,R,2,2,9,12,10,5,5,0,3,0,2
MO,24,H,F,3,E,B,C,1,11,7,11,3,5,5,0,2,0,4
MO,2,H,F,3,E,A,U,1,11,9,12,7,3,3,1,2,0,4
WA,34,U,F,1,E,C,T,1,12,5,8,1,4,3,0,3,0,2
IL,35,H,F,2,F,A,T,1,8,8,8,8,4,2,1,4,0,1
other,36,H,M,3,F,D,T,2,2,3,1,1,3,3,0,2,1,4
other,5,H,M,3,G,B,U,2,10,11,11,3,5,4,0,2,1,2
other,36,U,F,1,F,C,T,2,6,2,2,6,4,3,0,2,1,2
NC,47,H,M,3,E,D,R,2,12,6,12,6,2,2,0,2,0,4
CA,8,H,F,3,F,A,U,3,12,2,12,2,5,4,0,2,0,1
